s ../csv/Space BLOBz Tier S.csv 980
a ../csv/Space BLOBz Tier A.csv 7200
b ../csv/Space BLOBz Tier B.csv 11348
c ../csv/Space BLOBz Tier C.csv 17815
#,Address,BLZ,Points,S,A,B,C
63,0xF8613CDdC962b2Edd5d10cC6feA6e7CeA7A2F423,21554.543,22310,2,2,3,1
64,0xa0Cbee656Ef5d7B49882b3D61Fd086082256dfB2,21255.04,22000,2,2,0,0
65,0xb0C0f73f84CE7355E755846C123f0a5848304B52,21129.442,21870,2,1,8,7
66,0xDb87085756AEa0645A690313c4713C74d1457E37,20559.421,21280,2,1,2,8
67,0x9aFaeAf7baD7349b4B992EB5505A9660C1A8A5Ce,20221.273,20930,2,0,9,3
68,0xcF8373446363216f0daC6ace39cd3dB12cF8689b,20134.32,20840,2,0,8,4
69,0x4fc0e1BaFd06f57aE67c0145d50619Aeae946986,19544.976,20230,2,0,2,3
70,0xdbfEaF48cBaD9b9B9AA3d46642c8cC65bBE73E88,19448.362,20130,2,0,1,3
71,0x1D54eE6c2e15B168F35a578Ca2BCf49F6A46c473,19429.039,20110,2,0,1,1
72,0x41477A57A8916237A8ff512bA3D9bF487D9cbb79,19400.055,20080,2,0,0,8
72,0x500799f9Be283ac2f4D035c83b7BcF55D9d24245,19400.055,20080,2,0,0,8
74,0x04c650b361A9f9DEcba87c6b87db11a67bfFcC4E,19322.764,20000,2,0,0,0
74,0x052f6f1b6629c3d3982130dd80eD571F63033eDe,19322.764,20000,2,0,0,0
74,0x0EBA3c1E84866A65D99B116b2B3EA4529dA8916f,19322.764,20000,2,0,0,0
74,0x144579Ca8832050eEb8853e1A3793AC99F4b318a,19322.764,20000,2,0,0,0
74,0x1d2622961ef6997Deb6B4Ffd3a81627A3Fdc13A5,19322.764,20000,2,0,0,0
74,0x3B3FC24d1732e4593CcaBCe3A89B7c25102ed3ce,19322.764,20000,2,0,0,0
74,0x525132158d6966AD6BA7b729295a73616a8A06a8,19322.764,20000,2,0,0,0
74,0x7FCd58B46f76a7B9aADc27CD0A607D5702bc182A,19322.764,20000,2,0,0,0
74,0x82E0D9d0DC14027BE54C44317542fD680A7766dc,19322.764,20000,2,0,0,0
74,0x9D3714cCEFf1e57D9653158c877dEF1E74bd6f20,19322.764,20000,2,0,0,0
74,0xAcdb39B36AF8B5AF9394d46258FAdbAaC5da819C,19322.764,20000,2,0,0,0
74,0xd3932209fd8a5011931334ac99b8c6D526E035b0,19322.764,20000,2,0,0,0
86,0x55DD7D8Db617E34c37b43DB2e1Ef154e2558c6Df,18878.34,19540,1,9,5,4
87,0x5b301B69704dC9bfBDfeD62F36B6f8973aC84e51,18772.065,19430,1,8,10,43
88,0x2834f1869EC9581fc6bF88D5c551B2E482aF6565,18501.547,19150,1,9,1,5
89,0x9C88367275f6eA7d8F0b9416Ee927D22d9Ff7D28,18231.028,18870,1,8,8,7
90,0x21BF63C0418D4f1D13f884C50498B2259B321b43,18192.382,18830,1,8,8,3
91,0xd020DcD3ed9A57554D98EB29C91f1746b40d22DC,18115.091,18750,1,8,7,5
92,0x85EE7B2f099578e4d4a4358A60dee344D02b2F38,17757.62,18380,1,8,3,8
93,0xc4DA6319585Ff59912013338108ca895e48Ac733,17390.488,18000,1,8,0,0
94,0x17A7Aaa564511583E67C0A85DF4362745B2984bC,17371.165,17980,1,7,9,8
95,0xCd0A87c465F768CF17A59E8b85691810a368e68A,17342.181,17950,1,7,9,5
96,0x1118003aeb105955eaC012884cB07B36e76e0181,16936.403,17530,1,7,5,3
97,0x156AC784BaE328f6aFb6403460145BA8B029d3b5,16868.773,17460,1,7,4,6
98,0xB04613dfb18B8d5Ae4dAf33d6Bac6DC582aBD0BF,16762.498,17350,1,7,3,5
99,0xB024C97E187892CA5da51eA942f136F72635bF50,16617.577,17200,1,1,62,0
100,0xFAC219Be81D0236e4167163111298934B53a6D95,16588.593,17170,1,7,1,7
101,0x79Bdda65C706CBdA69C0AD4C8da1d3e91724f48D,16424.349,17000,1,7,0,0
101,0x80B21C49b2cB7b3D8956e028a7776DF7863f4538,16424.349,17000,1,7,0,0
103,0xed641737351A56b75C6C7da7f5AcB2eaBF11Bd36,16308.413,16880,1,6,8,8
104,0x112f0174E51F3039668a9df8783451772EC9DdA9,16153.831,16720,1,6,7,2
105,0x20313BF6f3071fAe1F44E23f1aED6950030BD1Db,15999.248,16560,1,6,5,6
106,0x12924049E2D21664E35387C69429c98E9891a820,15989.587,16550,1,6,5,5
